rank,country,points
1,Belgium,1780.00
2,France,1755.00
3,England,1670.00
4,Portugal,1662.00
5,Spain,1645.00
6,Italy,1625.0
7,Croatia,1617.00
8,Denmark,1614.00
9,Germany,1610.00
10,Netherlands,1609.00
11,Switzerland,1593.00
12,Wales,1562.00
13,Poland,1559.00
14,Sweden,1558.00
15,Austria,1531.00
16,Ukraine,1521.00
17,Serbia,1492.00
18,Turkey,1487.00
19,Slovakia,1478.00
20,Romania,1466.00
21,Russia,1461.00
22,Hungary,1460.00
23,Republic of Ireland,1456.00
24,Czech Republic,1456.00
25,Norway,1450.00
26,Northern Ireland,1440.00
27,Iceland,1438.00
28,Scotland,1436.00
29,Greece,1413.00
30,Finland,1411.00
31,Bosnia-Herzegovina,1410.00
32,Slovenia,1379.00
33,Montenegro,1370.00
34,North Macedonia,1362.00
35,Albania,1360.00
36,Bulgaria,1350.00
37,Israel,1279.00
38,Belarus,1269.00
39,Georgia,1267.00
40,Luxembourg,1235.00
41,Armenia,1233.00
42,Cyprus,1224.00
43,Faroe Islands,1183.00
44,Azerbaijan,1180.00
45,Estonia,1180.00
46,Kosovo,1155.00
47,Kazakhstan,1142.00
48,Lithuania,1114.00
49,Latvia,1082.00
50,Andorra,1048.00
51,Malta,951.00
52,Moldova,950.00
53,Liechtenstein,924.00
54,Gibraltar,888.00
55,San Marino,810.00
