Country_1,Country_2,y_1,y_2,time,rank_1,rank_2,point_1,point_2
Turkey,Italy,0,3,2,18,6,1487.0,1625.0
Wales,Switzerland,1,1,20,12,11,1562.0,1593.0
Denmark,Finland,0,1,23,8,30,1614.0,1411.0
Belgium,Russia,3,0,2,1,21,1780.0,1461.0
England,Croatia,1,0,20,3,7,1670.0,1617.0
Austria,North Macedonia,3,1,23,15,34,1531.0,1362.0
Netherlands,Ukraine,3,2,2,10,16,1609.0,1521.0
Scotland,Czech Republic,0,2,20,28,24,1436.0,1456.0
Poland,Slovakia,1,2,23,13,19,1559.0,1478.0
Spain,Sweden,0,0,2,5,14,1645.0,1558.0
Hungary,Portugal,0,3,23,22,4,1460.0,1662.0
France,Germany,1,0,2,2,9,1755.0,1610.0
Finland,Russia,0,1,20,30,21,1411.0,1461.0
Turkey,Wales,0,2,23,18,12,1487.0,1562.0
Italy,Switzerland,3,0,2,6,11,1625.0,1593.0
Ukraine,North Macedonia,2,1,20,16,34,1521.0,1362.0
Denmark,Belgium,1,2,23,8,1,1614.0,1780.0
Netherlands,Austria,2,0,2,10,15,1609.0,1531.0
Sweden,Slovakia,1,0,20,14,19,1558.0,1478.0
Croatia,Czech Republic,1,1,23,7,24,1617.0,1456.0
England,Scotland,0,0,2,3,28,1670.0,1436.0
Hungary,France,1,1,20,22,2,1460.0,1755.0
Portugal,Germany,2,4,23,4,9,1662.0,1610.0
Spain,Poland,1,1,2,5,13,1645.0,1559.0
Switzerland,Turkey,3,1,23,11,18,1593.0,1487.0
Italy,Wales,1,0,23,6,12,1625.0,1562.0
North Macedonia,Netherlands,0,3,23,34,10,1362.0,1609.0
Ukraine,Austria,0,1,23,16,15,1521.0,1531.0
Russia,Denmark,1,4,2,21,8,1461.0,1614.0
Finland,Belgium,0,2,2,30,1,1411.0,1780.0
Croatia,Scotland,3,1,2,7,28,1617.0,1436.0
Czech Republic,England,0,1,2,24,3,1456.0,1670.0
Sweden,Poland,3,2,23,14,13,1558.0,1559.0
Slovakia,Spain,0,5,23,19,5,1478.0,1645.0
Portugal,France,2,2,2,4,2,1662.0,1755.0
Germany,Hungary,2,2,2,9,22,1610.0,1460.0
Turkey,Italy,3,0,2,6,18,1625.0,1487.0
Wales,Switzerland,1,1,20,11,12,1593.0,1562.0
Denmark,Finland,1,0,23,30,8,1411.0,1614.0
Belgium,Russia,0,3,2,21,1,1461.0,1780.0
England,Croatia,0,1,20,7,3,1617.0,1670.0
Austria,North Macedonia,1,3,23,34,15,1362.0,1531.0
Netherlands,Ukraine,2,3,2,16,10,1521.0,1609.0
Scotland,Czech Republic,2,0,20,24,28,1456.0,1436.0
Poland,Slovakia,2,1,23,19,13,1478.0,1559.0
Spain,Sweden,0,0,2,14,5,1558.0,1645.0
Hungary,Portugal,3,0,23,4,22,1662.0,1460.0
France,Germany,0,1,2,9,2,1610.0,1755.0
Finland,Russia,1,0,20,21,30,1461.0,1411.0
Turkey,Wales,2,0,23,12,18,1562.0,1487.0
Italy,Switzerland,0,3,2,11,6,1593.0,1625.0
Ukraine,North Macedonia,1,2,20,34,16,1362.0,1521.0
Denmark,Belgium,2,1,23,1,8,1780.0,1614.0
Netherlands,Austria,0,2,2,15,10,1531.0,1609.0
Sweden,Slovakia,0,1,20,19,14,1478.0,1558.0
Croatia,Czech Republic,1,1,23,24,7,1456.0,1617.0
England,Scotland,0,0,2,28,3,1436.0,1670.0
Hungary,France,1,1,20,2,22,1755.0,1460.0
Portugal,Germany,4,2,23,9,4,1610.0,1662.0
Spain,Poland,1,1,2,13,5,1559.0,1645.0
Switzerland,Turkey,1,3,23,18,11,1487.0,1593.0
Italy,Wales,0,1,23,12,6,1562.0,1625.0
North Macedonia,Netherlands,3,0,23,10,34,1609.0,1362.0
Ukraine,Austria,1,0,23,15,16,1531.0,1521.0
Russia,Denmark,4,1,2,8,21,1614.0,1461.0
Finland,Belgium,2,0,2,1,30,1780.0,1411.0
Croatia,Scotland,1,3,2,28,7,1436.0,1617.0
Czech Republic,England,1,0,2,3,24,1670.0,1456.0
Sweden,Poland,2,3,23,13,14,1559.0,1558.0
Slovakia,Spain,5,0,23,5,19,1645.0,1478.0
Portugal,France,2,2,2,2,4,1755.0,1662.0
Germany,Hungary,2,2,2,22,9,1460.0,1610.0
